fid,DN,Area km2
532,"14",0.001
533,"14",0.001
534,"77",0.789
535,"218",0.008
536,"243",0.001
537,"14",0.013
538,"243",0.001
539,"243",0.001
540,"243",0.003
541,"243",0.001
542,"172",0.001
543,"172",0.001
544,"14",0.001
545,"243",0.008
546,"243",0.006
547,"243",0.002
548,"243",0.001
549,"243",0.004
550,"14",0.002
551,"243",0.001
552,"14",0.001
553,"243",0.002
554,"243",0.001
555,"243",0.001
556,"243",0.001
557,"243",0.001
558,"218",0.013
559,"243",0.001
560,"243",0.001
561,"243",0.001
562,"243",0.001
563,"243",0.001
564,"172",0.021
565,"243",0.001
566,"14",0.008
567,"172",0.005
568,"218",0.001
569,"243",0.001
570,"172",0.001
571,"243",0.001
572,"243",0.002
573,"243",0.001
574,"14",0.001
575,"14",0.001
576,"243",0.001
577,"243",0.001
578,"172",0.045
579,"243",0.001
580,"243",0.001
581,"14",0.001
582,"243",0.001
583,"243",0.002
584,"14",0.001
585,"243",0.001
586,"243",0.006
587,"243",0.004
588,"243",0.005
589,"243",0.004
590,"243",0.006
591,"172",0.011
592,"14",0.001
593,"172",0.012
594,"243",0.001
595,"77",0.001
596,"243",0.001
597,"172",0.003
598,"243",0.001
599,"172",0.001
600,"218",0.024
601,"243",0.001
602,"14",0.001
603,"77",0.001
604,"14",0.001
605,"172",0.001
606,"218",0.001
607,"172",0.001
608,"14",0.009
609,"243",0.002
610,"243",0.001
611,"243",0.001
612,"218",0.001
613,"243",0.001
614,"218",0.029
615,"243",0.002
616,"243",0.001
617,"14",0.001
618,"243",0.001
619,"172",0.003
620,"14",0.014
621,"14",0.001
622,"243",0.001
623,"14",0.001
624,"243",0.003
625,"243",0.004
626,"218",0.001
627,"243",0.001
628,"218",0.003
629,"243",0.001
630,"243",0.001
631,"243",0.001
632,"243",0.001
633,"172",0.001
634,"14",0.001
635,"243",0.001
636,"14",0.001
637,"218",0.001
638,"243",0.001
639,"243",0.001
640,"14",0.006
641,"243",0.001
642,"14",0.001
643,"243",0.001
644,"243",0.002
645,"243",0.005
646,"14",0.002
647,"172",0.005
648,"243",0.001
649,"243",0.001
650,"243",0.001
651,"14",0.003
652,"14",0.001
653,"14",0.001
654,"243",0.001
655,"14",0.001
656,"14",0.001
657,"243",0.004
658,"243",0.002
659,"14",0.001
660,"243",0.001
661,"243",0.001
662,"218",0.003
663,"243",0.001
664,"172",0.006
665,"243",0.001
666,"243",0.001
667,"218",0.001
668,"243",0.001
669,"243",0.001
670,"218",0.001
671,"243",0.001
672,"243",0.001
673,"243",0.001
674,"14",0.001
675,"218",0.001
676,"14",0.001
677,"243",0.001
678,"243",0.001
679,"243",0.001
680,"243",0.005
681,"243",0.002
682,"243",0.001
683,"243",0.001
684,"243",0.001
685,"14",0.001
686,"243",0.001
