fid,DN,Area km2
500,"243",0.001
501,"14",0.001
502,"218",0.001
503,"14",0.001
504,"243",0.001
505,"243",0.001
506,"243",0.002
507,"14",0.001
508,"243",0.004
509,"243",0.001
510,"218",0.001
511,"243",0.001
512,"172",0.021
513,"243",0.013
514,"14",0.001
515,"243",0.001
516,"218",0.001
517,"243",0.001
518,"243",0.001
519,"243",0.002
520,"14",0.001
521,"14",0.001
522,"243",0.001
523,"243",0.001
524,"218",0.001
525,"243",0.001
526,"172",0.096
527,"243",0.002
528,"243",0.001
529,"243",0.001
530,"14",0.001
531,"243",0.003
532,"218",0.002
533,"243",0.001
534,"243",0.001
535,"218",0.001
536,"243",0.003
537,"172",0.001
538,"243",0.001
539,"243",0.001
540,"218",0.001
541,"243",0.002
542,"243",0.010
543,"243",0.003
544,"14",0.001
545,"243",0.001
546,"218",0.050
547,"243",0.002
548,"14",0.002
549,"243",0.001
550,"243",0.006
551,"218",0.001
552,"14",0.001
553,"218",0.001
554,"243",0.003
555,"218",0.001
556,"243",0.001
557,"218",0.003
558,"14",0.001
559,"243",0.001
560,"243",0.002
561,"243",0.003
562,"243",0.001
563,"243",0.001
564,"218",0.001
565,"243",0.001
566,"243",0.001
567,"243",0.001
568,"218",0.001
569,"218",0.001
570,"243",0.001
571,"172",0.051
572,"243",0.011
573,"243",0.004
574,"243",0.003
575,"218",0.030
576,"14",0.001
577,"243",0.001
578,"14",0.001
579,"243",0.001
580,"14",0.001
581,"218",0.001
582,"218",0.001
583,"14",0.002
584,"218",0.002
585,"243",0.007
586,"243",0.003
587,"14",0.003
588,"243",0.001
589,"243",0.001
590,"14",0.002
591,"243",0.001
592,"14",0.001
593,"243",0.001
594,"218",0.001
595,"243",0.001
596,"243",0.001
597,"218",0.003
598,"243",0.001
599,"243",0.001
600,"243",0.002
601,"218",0.001
602,"243",0.001
603,"243",0.004
604,"218",0.001
605,"14",0.001
606,"218",0.001
607,"172",0.001
608,"218",0.006
609,"14",0.002
610,"218",0.001
611,"243",0.001
612,"218",0.001
613,"218",0.016
614,"243",0.004
615,"218",0.001
616,"243",0.001
617,"243",0.001
618,"218",0.001
619,"243",0.001
620,"14",0.001
621,"243",0.002
622,"14",0.014
623,"243",0.001
624,"243",0.001
625,"243",0.001
626,"243",0.001
