fid,DN,Area km2
517,"243",0.001
518,"14",0.001
519,"14",0.001
520,"14",0.001
521,"172",0.001
522,"14",0.001
523,"243",0.001
524,"243",0.001
525,"172",0.001
526,"172",0.001
527,"14",0.008
528,"172",0.088
529,"243",0.009
530,"14",0.082
531,"14",0.035
532,"243",0.002
533,"172",0.008
534,"243",0.002
535,"243",0.006
536,"243",0.008
537,"243",0.013
538,"14",0.006
539,"14",0.001
540,"14",0.001
541,"243",0.001
542,"14",0.001
543,"243",0.001
544,"218",0.002
545,"172",0.001
546,"172",0.003
547,"14",0.024
548,"14",0.001
549,"14",0.006
550,"243",0.001
551,"243",0.003
552,"14",0.001
553,"14",0.001
554,"218",0.001
555,"243",0.010
556,"243",0.001
557,"243",0.001
558,"14",0.001
559,"172",0.003
560,"243",0.001
561,"243",0.001
562,"243",0.001
563,"172",0.001
564,"243",0.001
565,"243",0.001
566,"243",0.001
567,"14",0.001
568,"218",0.001
569,"14",0.001
570,"218",0.096
571,"14",0.001
572,"172",0.001
573,"14",0.001
574,"218",0.003
575,"172",0.007
576,"14",0.001
577,"243",0.001
578,"172",0.001
579,"243",0.001
580,"14",0.001
581,"14",0.001
582,"243",0.004
583,"243",0.001
584,"243",0.001
585,"14",0.004
586,"243",0.001
587,"243",0.002
588,"14",0.001
589,"243",0.011
590,"218",0.001
591,"243",0.002
592,"218",0.002
593,"14",0.002
594,"243",0.002
595,"218",0.001
596,"243",0.001
597,"243",0.001
598,"243",0.001
599,"243",0.001
600,"243",0.001
601,"218",0.001
602,"218",0.001
603,"243",0.001
604,"14",0.001
605,"14",0.001
606,"14",0.005
607,"172",0.001
608,"14",0.001
609,"218",0.001
610,"243",0.001
611,"172",0.001
612,"172",0.003
613,"243",0.001
614,"243",0.002
615,"14",0.001
616,"14",0.002
617,"243",0.001
618,"218",0.001
619,"14",0.001
620,"243",0.001
621,"243",0.001
622,"243",0.003
623,"243",0.001
624,"243",0.001
625,"14",0.001
626,"14",0.001
627,"243",0.001
628,"243",0.001
629,"172",0.001
630,"243",0.001
631,"14",0.001
632,"14",0.001
633,"218",0.001
634,"243",0.001
635,"172",0.001
636,"14",0.001
637,"172",0.001
638,"14",0.001
639,"14",0.011
640,"172",0.007
641,"218",0.006
642,"243",0.016
643,"243",0.002
644,"14",0.001
645,"218",0.004
646,"172",0.005
647,"14",0.005
648,"243",0.001
649,"172",0.001
650,"14",0.001
651,"172",0.001
652,"243",0.027
653,"243",0.001
654,"218",0.008
655,"243",0.001
656,"218",0.059
657,"243",0.001
658,"14",0.002
659,"14",0.011
660,"14",0.001
661,"77",0.001
662,"218",0.002
663,"172",0.001
664,"243",0.001
665,"243",0.002
666,"243",0.003
667,"218",0.002
668,"243",0.001
669,"172",0.033
670,"243",0.001
671,"218",0.003
672,"172",0.001
673,"243",0.001
674,"14",0.001
675,"243",0.001
676,"14",0.001
677,"172",0.001
678,"243",0.001
679,"243",0.001
680,"243",0.002
681,"243",0.001
682,"14",0.028
683,"243",0.006
684,"243",0.001
685,"14",0.001
686,"243",0.007
687,"14",0.001
688,"243",0.001
689,"243",0.001
690,"218",0.002
691,"14",0.001
692,"172",0.001
693,"14",0.002
694,"172",0.001
695,"14",0.001
696,"172",0.001
697,"14",0.001
698,"172",0.001
699,"77",0.005
700,"14",0.125
701,"243",0.004
702,"243",0.005
703,"243",0.008
704,"243",0.010
705,"14",0.001
706,"243",0.001
707,"243",0.001
708,"243",0.001
709,"243",0.001
710,"14",0.001
711,"243",0.002
712,"243",0.001
713,"14",0.002
714,"243",0.001
715,"243",0.001
716,"243",0.001
717,"243",0.001
718,"243",0.001
719,"218",0.001
720,"243",0.001
721,"243",0.001
722,"14",0.001
723,"172",0.001
724,"14",0.001
725,"243",0.001
726,"243",0.001
727,"218",0.001
728,"243",0.002
729,"14",0.001
730,"243",0.001
731,"14",0.001
732,"243",0.001
733,"218",0.001
734,"218",0.011
735,"14",0.001
736,"218",0.002
737,"172",0.002
738,"14",0.001
739,"243",0.001
740,"243",0.001
741,"14",0.001
742,"243",0.001
743,"243",0.001
744,"243",0.001
745,"218",0.001
746,"243",0.001
747,"243",0.005
748,"218",0.019
749,"218",0.006
750,"243",0.003
751,"243",0.003
752,"218",0.002
753,"243",0.476
754,"14",0.001
755,"243",0.001
756,"14",0.001
757,"14",0.002
758,"243",0.001
759,"243",0.001
760,"218",0.007
761,"243",0.002
762,"14",0.001
763,"218",0.001
764,"243",0.001
765,"14",0.001
766,"243",0.001
767,"243",0.001
768,"243",0.010
769,"243",0.003
770,"218",0.001
771,"172",0.004
772,"218",0.001
773,"77",0.001
774,"243",0.001
775,"218",0.020
776,"172",0.001
777,"243",0.002
778,"243",0.007
779,"243",0.001
780,"218",0.001
781,"218",0.001
782,"243",0.001
783,"243",0.001
784,"14",0.001
785,"243",0.001
786,"243",0.009
787,"14",0.003
788,"243",0.001
789,"218",0.002
790,"14",0.005
