fid,DN,Area km2
500,"218",0.001
501,"243",0.001
502,"218",0.001
503,"218",0.001
504,"14",0.001
505,"243",0.001
506,"243",0.001
507,"243",0.007
508,"243",0.001
509,"243",0.001
510,"14",0.003
511,"218",0.001
512,"243",0.001
513,"243",0.001
514,"243",0.003
515,"243",0.001
516,"243",0.001
517,"243",0.003
518,"243",0.007
519,"218",0.003
520,"243",0.001
521,"243",0.001
522,"218",0.001
523,"243",0.012
524,"243",0.001
525,"14",0.001
526,"218",0.001
527,"243",0.001
528,"243",0.001
529,"243",0.002
530,"172",0.004
531,"243",0.002
532,"243",0.001
533,"14",0.001
534,"218",0.001
535,"218",0.001
536,"14",0.001
537,"218",0.001
538,"243",0.003
539,"243",0.004
540,"218",0.003
541,"243",0.005
542,"218",0.001
543,"172",0.046
544,"14",0.001
545,"243",0.018
546,"218",0.001
547,"218",0.001
548,"243",0.001
549,"243",0.001
550,"218",0.001
551,"218",0.004
552,"243",0.026
553,"218",0.001
554,"14",0.001
555,"172",0.001
556,"218",0.001
557,"243",0.002
558,"218",0.001
559,"14",0.002
560,"172",0.001
561,"14",0.001
562,"243",0.004
563,"243",0.001
564,"218",0.001
565,"243",0.001
566,"243",0.004
567,"218",0.001
568,"243",0.036
569,"218",0.001
570,"243",0.002
571,"218",0.008
572,"14",0.001
573,"243",0.006
574,"243",0.001
575,"172",0.001
576,"243",0.001
577,"14",0.001
578,"243",0.001
579,"14",0.001
580,"243",0.001
581,"243",0.001
582,"243",0.001
583,"243",0.001
584,"243",0.012
585,"243",0.001
586,"243",0.001
587,"243",0.001
588,"243",0.021
589,"218",0.011
590,"14",0.006
591,"243",0.002
592,"218",0.003
593,"243",0.001
594,"243",0.001
595,"218",0.001
596,"243",0.001
597,"243",0.001
598,"243",0.001
599,"243",0.001
600,"172",0.002
601,"243",0.002
602,"243",0.001
603,"243",0.001
604,"218",0.001
605,"218",0.001
606,"218",0.001
607,"172",0.007
608,"243",0.002
609,"243",0.001
610,"218",0.001
611,"243",0.001
612,"14",0.001
613,"243",0.002
614,"14",0.004
615,"218",0.001
616,"218",0.001
617,"218",0.001
618,"243",0.001
619,"243",0.001
620,"14",0.001
621,"14",0.001
622,"243",0.014
623,"172",0.004
624,"243",0.001
625,"218",0.001
626,"243",0.001
627,"14",0.008
628,"243",0.001
629,"218",0.001
