fid,DN,Area km2
500,"14",0.007
501,"243",0.001
502,"243",0.003
503,"243",0.001
504,"243",0.009
505,"218",0.001
506,"14",0.042
507,"243",0.001
508,"243",0.001
509,"172",0.001
510,"172",0.001
511,"14",0.005
512,"14",0.001
513,"14",0.001
514,"243",0.001
515,"172",0.001
516,"243",0.001
517,"218",0.003
518,"14",0.001
519,"243",0.001
520,"243",0.001
521,"243",0.001
522,"243",0.001
523,"14",0.001
524,"14",0.001
525,"243",0.002
526,"218",0.011
527,"243",0.001
528,"172",0.001
529,"172",0.001
530,"243",0.001
531,"218",0.001
532,"14",0.001
533,"14",0.001
534,"243",0.001
535,"218",0.001
536,"172",0.001
537,"14",0.001
538,"243",0.001
539,"243",0.006
540,"14",0.001
541,"14",0.001
542,"14",0.002
543,"172",0.001
544,"172",0.124
545,"172",0.094
546,"243",0.004
547,"243",0.001
548,"218",0.009
549,"14",0.001
550,"172",0.005
551,"243",0.009
552,"14",0.001
553,"77",0.001
554,"14",0.002
555,"243",0.001
556,"218",0.001
557,"243",0.001
558,"14",0.001
559,"14",0.001
560,"243",0.001
561,"14",0.001
562,"14",0.001
563,"172",0.005
564,"14",0.001
565,"218",0.006
566,"14",0.001
567,"243",0.001
568,"243",0.005
569,"218",0.033
570,"14",0.003
571,"14",0.004
572,"243",0.001
573,"218",0.005
574,"172",0.001
575,"172",0.059
576,"243",0.002
577,"14",0.001
578,"243",0.001
579,"243",0.001
580,"14",0.001
581,"77",0.001
582,"218",0.001
583,"14",0.001
584,"243",0.001
585,"218",0.001
586,"243",0.001
587,"14",0.002
588,"14",0.001
589,"14",0.001
590,"14",0.003
591,"14",0.001
592,"14",0.003
593,"218",0.001
594,"14",0.001
595,"172",0.001
596,"243",0.001
597,"218",0.004
598,"243",0.002
599,"218",0.002
600,"243",0.001
601,"243",0.001
602,"243",0.001
603,"14",0.001
604,"243",0.001
605,"218",0.001
606,"243",0.001
607,"14",0.001
608,"14",0.001
609,"243",0.002
610,"172",0.064
611,"172",0.005
612,"172",0.006
613,"172",0.012
614,"243",0.001
615,"243",0.001
616,"14",0.004
617,"218",0.001
618,"172",0.001
619,"243",0.001
620,"14",0.001
621,"243",0.001
622,"172",0.001
623,"243",0.001
624,"218",0.037
625,"172",0.003
626,"243",0.001
627,"77",0.001
628,"172",0.001
629,"243",0.008
630,"172",0.223
631,"14",0.002
632,"172",0.001
633,"218",0.001
634,"218",0.004
635,"243",0.001
636,"14",0.022
637,"243",0.001
638,"172",0.031
639,"172",0.001
640,"243",0.003
641,"14",0.001
642,"14",0.001
643,"14",0.001
644,"172",0.011
645,"172",0.001
646,"14",0.001
647,"172",0.003
648,"172",0.001
649,"243",0.001
650,"243",0.001
651,"243",0.001
652,"14",0.001
653,"172",0.001
654,"218",0.001
655,"243",0.001
656,"14",0.001
657,"172",0.036
658,"218",0.033
659,"172",0.007
660,"172",0.018
661,"77",0.010
662,"172",0.011
663,"14",0.003
664,"243",0.001
665,"243",0.001
666,"172",0.001
667,"243",0.001
668,"218",0.001
669,"243",0.001
670,"243",0.001
671,"243",0.001
672,"14",0.001
673,"243",0.001
674,"218",0.001
675,"243",0.002
676,"243",0.001
677,"172",0.008
678,"218",0.006
679,"243",0.001
680,"172",0.001
681,"172",0.003
682,"14",0.008
683,"243",0.001
684,"218",0.001
685,"172",0.001
686,"172",0.001
687,"172",0.001
688,"243",0.001
689,"243",0.002
690,"218",0.001
691,"243",0.001
692,"218",0.001
693,"243",0.001
694,"172",0.001
695,"172",0.001
696,"172",0.001
697,"243",0.001
698,"243",0.001
699,"172",0.001
700,"172",0.044
701,"172",0.016
702,"14",0.009
703,"172",0.001
704,"243",0.001
705,"243",0.001
706,"243",0.001
707,"243",0.001
708,"243",0.001
709,"172",0.006
710,"172",0.001
711,"243",0.001
712,"243",0.002
713,"172",0.002
714,"172",0.024
715,"218",0.007
716,"243",0.001
717,"243",0.001
718,"243",0.001
719,"243",0.006
720,"243",0.001
721,"243",0.001
722,"14",0.002
723,"243",0.001
724,"172",0.001
725,"14",0.003
726,"243",0.001
727,"172",0.001
728,"243",0.006
729,"243",0.001
730,"243",0.001
731,"172",0.031
732,"243",0.001
733,"172",0.002
734,"243",0.004
735,"243",0.002
736,"218",0.039
737,"218",0.002
738,"172",0.004
739,"14",0.001
740,"243",0.001
741,"172",0.001
742,"172",0.098
743,"14",0.002
744,"243",0.001
745,"172",0.004
746,"218",0.001
747,"172",0.002
748,"243",0.001
749,"14",0.003
750,"172",0.001
751,"243",0.004
752,"172",0.009
753,"14",0.001
754,"172",0.040
755,"14",0.001
756,"14",0.001
757,"172",0.001
758,"172",0.011
759,"14",3.827
760,"172",0.018
761,"14",0.002
