fid,DN,Area km2
492,"243",0.001
493,"243",0.003
494,"172",0.001
495,"218",0.001
496,"243",0.001
497,"243",0.002
498,"218",0.019
499,"243",0.001
500,"218",0.002
501,"218",0.005
502,"172",0.001
503,"243",0.001
504,"14",0.001
505,"14",0.001
506,"243",0.001
507,"14",0.001
508,"243",0.001
509,"243",0.001
510,"243",0.002
511,"218",0.013
512,"172",0.007
513,"243",0.001
514,"218",0.002
515,"243",0.001
516,"172",0.001
517,"243",0.004
518,"243",0.001
519,"243",0.003
520,"243",0.001
521,"243",0.004
522,"218",0.002
523,"243",0.001
524,"243",0.001
525,"14",0.001
526,"243",0.003
527,"243",0.001
528,"14",0.001
529,"172",0.001
530,"243",0.001
531,"243",0.001
532,"243",0.001
533,"243",0.001
534,"243",0.001
535,"172",0.018
536,"243",0.001
537,"243",0.001
538,"243",0.001
539,"243",0.001
540,"243",0.002
541,"243",0.001
542,"243",0.001
543,"243",0.001
544,"243",0.003
545,"218",0.001
546,"172",0.006
547,"14",0.001
548,"243",0.001
549,"218",0.003
550,"243",0.006
551,"243",0.009
552,"14",0.001
553,"243",0.002
554,"243",0.001
555,"243",0.001
556,"172",0.002
557,"172",0.001
558,"243",0.001
559,"218",0.001
560,"243",0.001
561,"14",0.002
562,"243",0.003
563,"243",0.001
564,"243",0.001
565,"14",0.001
566,"243",0.001
567,"243",0.009
568,"243",0.001
569,"243",0.001
570,"243",0.003
571,"243",0.001
572,"218",0.002
573,"14",0.001
574,"243",0.006
575,"14",0.001
576,"14",0.001
577,"14",0.001
578,"172",0.001
579,"218",0.001
580,"218",0.001
581,"243",0.001
582,"218",0.001
583,"243",0.004
584,"243",0.003
585,"243",0.001
586,"14",0.001
587,"243",0.003
588,"172",0.001
589,"14",0.002
590,"243",0.001
591,"172",0.001
592,"243",0.002
593,"14",0.008
594,"243",0.015
595,"243",0.002
596,"218",0.003
597,"243",0.001
598,"14",0.002
599,"243",0.001
600,"243",0.001
601,"218",0.001
602,"14",0.001
603,"218",0.001
604,"14",0.002
605,"243",0.002
606,"14",0.004
607,"243",0.001
608,"243",0.002
609,"218",0.001
610,"243",0.001
611,"243",0.001
612,"218",0.001
613,"243",0.001
614,"243",0.001
615,"218",0.002
616,"243",0.001
617,"243",0.001
618,"243",0.001
619,"14",0.001
620,"243",0.001
621,"243",0.001
622,"14",0.001
623,"243",0.001
624,"243",0.001
625,"243",0.001
626,"218",0.002
627,"243",0.001
628,"218",0.001
629,"14",0.001
630,"243",0.002
631,"243",0.001
632,"243",0.001
633,"243",0.001
634,"172",0.042
635,"218",0.017
636,"243",0.004
637,"243",0.007
638,"172",0.004
639,"243",0.001
640,"243",0.002
641,"243",0.001
642,"243",0.002
643,"243",0.002
644,"243",0.001
645,"243",0.001
646,"218",0.001
647,"243",0.001
648,"243",0.003
649,"243",0.001
650,"14",0.004
651,"243",0.001
652,"243",0.001
653,"172",0.001
654,"218",0.002
655,"243",0.001
656,"172",0.003
657,"243",0.001
658,"218",0.426
659,"243",0.001
660,"218",0.013
661,"14",0.026
662,"243",0.013
663,"218",0.001
664,"218",0.001
665,"243",0.001
666,"172",0.018
667,"14",0.004
668,"14",0.001
669,"243",0.001
670,"243",0.009
671,"243",0.001
672,"172",0.037
673,"218",0.003
674,"243",0.001
675,"243",0.001
676,"243",0.003
677,"172",0.001
678,"243",0.003
679,"218",0.011
680,"172",0.001
681,"14",0.003
682,"172",0.001
683,"14",0.002
684,"243",0.001
685,"172",0.002
686,"243",0.001
687,"14",0.001
688,"243",0.001
689,"172",0.002
690,"14",0.003
691,"243",0.001
692,"172",0.001
693,"14",5.034
694,"14",0.005
695,"172",0.001
696,"172",0.008
697,"172",0.001
698,"243",0.001
699,"14",0.001
