Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,ArtificialSurface%,Shannon index Artificial Surface,General Shannon index,Shannon index water,Shannon index natural terrestrial vegetation
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,16,18:01:52,18:05:03,20230806,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,17,18:03:15,18:03:56,20230806,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,18,18:04:29,18:07:09,20230806,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,19,18:07:56,18:08:27,20230806,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,20,16:38:20,16:41:25,20230809,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,21,16:39:45,16:47:00,20230809,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,22,17:47:25,17:49:47,20230809,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,23,17:51:42,17:53:47,20230809,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,24,17:54:21,17:54:39,20230809,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,25,08:37:05,08:37:25,20230810,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
