fid,DN,Area in km2
"147","243",0.000625000002637506
"148","218",0.00250000000499934
"149","243",0.00124999999763817
"150","243",0.000625000000016764
"151","243",0.00562500041099824
"152","218",0.000624999995112419
"153","243",0.00062500000526011
"154","218",0.000624999995255843
"155","243",0.00062499999153614
"156","218",0.00125000000504591
"157","243",0.00125000000560284
"158","243",0.00624999986667931
"159","14",0.000624999997163191
"160","243",0.00062499999073334
"161","243",0.00312499960283004
"162","243",0.00125000000150502
"163","243",0.000625000000944361
"164","243",0.000625000011201948
"165","218",0.000625000001464039
"166","243",0.000624999999517575
"167","218",0.0275000008277409
"168","243",0.0012500000050962
"169","243",0.000625000002954155
"170","218",0.00374999971702136
"171","243",0.00624999999645352
"172","218",0.00125000000043213
"173","243",0.000624999999826774
"174","14",0.000625000004921108
"175","243",0.00062499999974668
"176","14",0.000624999994743615
"177","243",0.00124999999561906
"178","243",0.000624999989528209
"179","218",0.00125000000495464
"180","243",0.00125000000471249
"181","14",0.00812500028996915
"182","218",0.00187499972977303
"183","243",0.00124999999320507
"184","14",0.000625000002462417
"185","14",0.000625000008827075
"186","243",0.000625000001665205
"187","218",0.00125000000295043
"188","172",0.000625000004252419
"189","14",0.00062500000876002
"190","218",0.000624999995555729
"191","243",0.000625000001251698
"192","218",0.00874999963211268
"193","243",0.000624999999372289
"194","172",0.000625000000376254
"195","243",0.000624999998250976
"196","243",0.000625000004755333
"197","243",0.000625000006483868
"198","243",0.00187500027585216
"199","14",0.000624999998634681
"200","14",0.0018750001265835
"201","243",0.00125000000340678
"202","218",0.00187500000856631
"203","243",0.000625000009510666
"204","243",0.000625000001758337
"205","243",0.0012500000081975
"206","14",0.00249999958017841
"207","243",0.000624999998740852
"208","14",0.000624999994207174
"209","243",0.000625000001937151
"210","243",0.000624999998992309
"211","172",0.000625000008041039
"212","243",0.000624999993940815
"213","243",0.000625000004036352
"214","14",0.000625000007374212
"215","243",0.00874999716654047
"216","218",0.000624999997116625
"217","172",0.000624999998671934
"218","218",0.000624999996239319
"219","218",0.007499999619985
"220","243",0.00124999999802932
"221","218",0.00375000038742088
"222","243",0.00124999999728054
"223","243",0.000624999998226762
"224","218",0.00124999999339506
"225","243",0.00124999999902025
"226","243",0.000624999998550862
"227","243",0.000625000011412427
"228","172",0.000624999993292615
"229","218",0.00499999969864078
"230","243",0.000625000003553927
"231","243",0.00312500053173304
"232","14",0.000624999998088926
"233","243",0.000625000001741573
"234","243",0.00187499999972619
"235","243",0.000625000000214204
"236","243",0.00187500012729689
"237","243",0.000625000003483146
"238","218",0.00187500028158538
"239","243",0.000624999989034608
"240","14",0.003124999324264
"241","14",0.000625000003835186
"242","218",0.000624999998604879
"243","243",0.000625000000435859
"244","14",0.0018749999968186
"245","243",0.00125000000421889
"246","243",0.000625000003395602
"247","218",0.000625000000169501
"248","218",0.000625000000497326
"249","243",0.000625000005353242
"250","218",0.000624999999983236
"251","243",0.000625000000566244
