fid,DN,Area in km2
"89","243",0.00062500000166893
"90","243",0.00249999970491789
"91","172",0.00125000000783056
"92","243",0.00062500000301376
"93","243",0.000625000000368804
"94","243",0.000625000001821667
"95","172",0.000625000002967194
"96","243",0.000625000004554167
"97","218",0.000624999997053295
"98","243",0.000624999997776002
"99","243",0.000624999999314547
"100","243",0.000625000004788861
"101","243",0.00249999998703971
"102","218",0.00062500000044331
"103","218",0.000624999990593642
"104","243",0.00187500013085455
"105","243",0.000625000002115965
"106","243",0.00125000000121072
"107","243",0.000625000001749024
"108","243",0.00312500052849203
"109","172",0.0268750061077196
"110","14",0.000624999999448657
"111","218",0.000625000000858679
"112","243",0.00062500000275299
"113","243",0.000625000004360452
"114","218",0.000624999998109415
"115","172",0.000625000004170462
"116","243",0.00125000000276417
"117","218",0.00125000000000373
"118","243",0.00125000000482611
"119","218",0.000624999997518957
"120","243",0.00187500027602725
"121","243",0.000625000011587515
"122","218",0.000625000000335276
"123","243",0.000624999992156401
"124","218",0.016875001826534
"125","243",0.000625000000795349
"126","218",0.0143749962494746
"127","14",0.0006249999865219
"128","243",0.00187499973110855
"129","243",0.000624999997723848
"130","172",0.00125000000271946
"131","218",0.00125000000215136
"132","243",0.00187499972085841
"133","218",0.000624999997012317
"134","243",0.000624999993652105
"135","14",0.00125000000054576
"136","243",0.000624999985963106
"137","172",0.0024999999942109
"138","14",0.00124999999660626
"139","243",0.000625000000173226
"140","218",0.000624999995291233
"141","243",0.000625000004097819
"142","243",0.000625000005407259
"143","243",0.0006250000075344
"144","243",0.0012499999974817
"145","218",0.00374999999302998
"146","218",0.000625000004578382
"147","218",0.000625000003403053
"148","243",0.000624999999377877
"149","243",0.00187500013122335
"150","243",0.000625000010134652
"151","172",0.00499999972716719
"152","243",0.000624999996969476
"153","218",0.000625000006364658
"154","243",0.000624999990142882
"155","243",0.000624999999484047
"156","243",0.00062500000448525
"157","172",0.000624999999500811
"158","243",0.000624999996261671
"159","218",0.000625000007495284
"160","14",0.00124999999828078
"161","243",0.00125000000089966
"162","243",0.00125000000339746
