fid,DN,Area in km2
"145","243",0.000625000005926937
"146","218",0.00187500026370957
"147","243",0.00437499971653894
"148","218",0.000625000002415851
"149","243",0.000624999999364838
"150","243",0.00625000135100447
"151","218",0.000624999994054437
"152","243",0.0018749999974221
"153","243",0.000625000001870096
"154","172",0.00249999919205904
"155","172",0.000625000001117587
"156","172",0.000625000002561137
"157","172",0.000624999993141741
"158","243",0.00125000000147521
"159","243",0.00187499987311475
"160","243",0.00437500068867207
"161","243",0.00187499972316995
"162","172",0.000624999998040497
"163","218",0.00249999998922832
"164","218",0.000625000004278496
"165","218",0.00187500027888827
"166","243",0.000625000008141622
"167","243",0.000624999996403232
"168","172",0.00125000000586547
"169","218",0.00124999999202043
"170","243",0.00187499973413907
"171","14",0.000625000001776963
"172","172",0.0049999995643273
"173","243",0.00249999999074265
"174","218",0.00250000000492483
"175","243",0.000625000009635463
"176","243",0.000624999998658895
"177","218",0.000625000000309199
"178","243",0.000625000004686415
"179","243",0.000624999997640029
"180","243",0.000624999994009733
"181","14",0.000624999997051433
"182","243",0.00812499942482822
"183","243",0.000624999999947846
"184","172",0.00249999999957718
"185","243",0.00062500000995025
"186","243",0.000624999999478459
"187","243",0.000625000001503155
"188","243",0.000625000003039837
"189","218",0.00187499987965636
"190","14",0.000624999995131046
"191","243",0.000624999994590879
"192","172",0.000624999996552244
"193","218",0.000624999995123595
"194","243",0.00124999999136105
"195","243",0.00124999999743886
"196","243",0.00125000000661425
"197","172",0.000624999996608123
"198","243",0.0025000000012666
"199","218",0.00125000000457838
"200","243",0.000625000004213303
"201","218",0.000624999991206452
"202","172",0.000625000000057742
"203","218",0.00999999955556542
"204","243",0.00375000000740588
"205","243",0.00249999918870814
"206","243",0.0031249995773416
"207","243",0.0050000000180658
"208","14",0.00187500028333068
"209","218",0.00124999999064952
"210","218",0.0137500003893133
"211","243",0.00312500067767687
"212","14",0.000625000008331612
"213","218",0.00124999999628589
"214","243",0.000624999991787598
"215","172",0.00500000025763735
"216","243",0.000624999996427447
"217","172",0.0256250005486272
"218","243",0.00812500094533712
"219","218",0.00375000000654161
"220","172",0.00124999999982864
"221","243",0.000625000002223998
"222","243",0.00249999999729916
"223","243",0.000625000008026138
"224","243",0.000624999992860481
"225","14",0.000624999993255362
"226","218",0.000625000000284985
"227","14",0.00187500026740134
"228","218",0.00312499957184307
"229","243",0.00812500156176649
"230","218",0.0012500000112541
"231","243",0.000625000000674278
"232","243",0.000625000003641471
"233","172",0.00250000000625104
"234","243",0.00124999999909475
"235","172",0.000624999996809289
"236","218",0.000625000002099201
"237","243",0.000625000008223578
"238","218",0.000625000005165115
"239","243",0.00062500000025332
"240","14",0.000625000000266358
"241","243",0.00187500012650155
"242","14",0.00500000011843815
"243","218",0.000624999995954335
"244","218",0.00125000000203215
"245","172",0.000624999994911253
"246","243",0.000625000002013519
"247","218",0.00374999999544397
"248","243",0.00124999999148399
"249","243",0.000625000007003546
"250","243",0.00250000030134618
"251","218",0.00125000000484288
"252","218",0.00250000000440702
"253","243",0.00125000000184588
"254","218",0.000624999996861443
"255","172",0.00187500026968308
"256","218",0.000625000001771375
"257","14",0.00187500012412667
"258","218",0.00125000000435114
"259","243",0.00125000000447035
"260","243",0.00937500028896891
"261","172",0.000625000003755093
"262","243",0.0100000001203865
