fid,DN,Area in km2
"158","243",0.000625000000871718
"159","243",0.00437500067988783
"160","218",0.000625000001933426
"161","172",0.00124999999677204
"162","243",0.000624999996820465
"163","172",0.000624999993816018
"164","243",0.00249999997583218
"165","243",0.000625000004930422
"166","243",0.000624999991470948
"167","14",0.0006249999953527
"168","14",0.000625000007363036
"169","172",0.000624999995781109
"170","172",0.000624999996427447
"171","218",0.000625000006871298
"172","243",0.000625000010756776
"173","218",0.000624999999564141
"174","218",0.030624999902213
"175","14",0.0218750022024475
"176","243",0.00375000067008473
"177","218",0.00687500095800869
"178","218",0.00999999788543768
"179","243",0.00500000212223828
"180","218",0.0162499981726594
"181","218",0.00125000000704452
"182","172",0.0025000000013113
"183","243",0.000625000003503636
"184","243",0.00187499972683191
"185","218",0.00375000000272505
"186","218",0.00437499972517602
"187","243",0.000624999999905005
"188","218",0.000625000001639128
"189","14",0.000624999996308237
"190","243",0.000625000009050593
"191","14",0.000624999997740611
"192","172",0.000624999995747581
"193","243",0.00125000000082701
"194","243",0.00062500000202097
"195","218",0.00624999999158271
"196","243",0.000625000005403534
"197","172",0.000624999999998137
"198","14",0.00250000000603124
"199","243",0.000624999983171001
"200","243",0.000625000001575798
"201","243",0.00062499999259226
"202","243",0.0199999988745227
"203","243",0.00312500015239418
"204","172",0.00250000000143051
"205","243",0.000624999985931441
"206","218",0.00437499920209311
"207","218",0.00187500013238378
"208","14",0.00125000000567362
"209","218",0.00124999999951199
"210","243",0.00625000091749243
"211","14",0.00687500179455802
"212","14",0.000625000000912696
"213","218",0.00250000000686385
"214","14",0.00187499987886101
"215","218",0.00187500012690574
"216","243",0.00124999999336526
"217","243",0.000624999995015562
"218","218",0.000624999997990206
"219","243",0.000624999998625368
"220","218",0.0006249999998454
"221","243",0.00187499987160414
"222","243",0.00062500000131689
"223","218",0.000624999999824911
"224","243",0.00125000000180304
"225","243",0.00187500028650463
"226","243",0.000625000001465902
"227","172",0.00187500011928938
"228","172",0.00125000000026077
"229","243",0.00124999999755248
"230","243",0.000625000002039596
"231","243",0.000624999998237938
"232","218",0.00124999999929592
"233","14",0.000624999999566004
"234","218",0.00124999999922141
"235","243",0.000625000002495945
"236","218",0.00124999999997392
"237","218",0.003749999488784
"238","243",0.00125000000688434
"239","243",0.00125000000545755
"240","243",0.0012499999928195
"241","218",0.00125000000094995
"242","243",0.000624999995388091
"243","243",0.00375000081407838
"244","243",0.000625000002164394
"245","218",0.000624999997228384
"246","218",0.000625000007700175
"247","218",0.000625000001626089
"248","243",0.00125000000817142
"249","243",0.00562499961839058
"250","243",0.00124999998896569
"251","218",0.00625000000123307
"252","243",0.00187499999403208
"253","218",0.001249999992989
"254","243",0.000625000001907349
"255","218",0.000624999989960343
"256","243",0.00062499999666214
"257","218",0.0037500018107947
"258","172",0.001250000000095
"259","243",0.0262500097825322
"260","243",0.051875004938677
"261","218",0.00062499999384582
"262","218",0.00249999999204278
"263","243",0.000625000000011176
"264","218",0.00374999999934062
"265","243",0.000625000002540648
"266","172",0.000624999994166195
"267","218",0.00250000000479072
"268","243",0.000624999995941296
"269","14",0.000625000000281259
"270","243",0.00249999956688657
"271","243",0.0200000001618005
"272","218",0.00875000013279356
"273","243",0.000624999997431412
"274","243",0.00437500041341037
"275","218",0.00750000112252682
"276","243",0.000624999995665625
"277","243",0.000624999996803701
"278","243",0.00125000000041164
"279","243",0.00562500011235103
"280","243",0.00187500012451969
"281","243",0.000625000001566485
"282","218",0.000624999996623024
"283","243",0.00124999999507889
"284","243",0.00187500026478246
"285","14",0.000625000009130687
"286","243",0.000624999996231869
"287","172",0.000624999997284263
"288","243",0.00062499999018386
"289","243",0.000624999991707504
"290","243",0.000624999999117106
"291","243",0.000625000006590039
"292","243",0.000625000002982095
"293","243",0.000625000000575557
"294","218",0.00124999999317341
"295","243",0.00125000000607409
"296","243",0.000625000001721084
"297","243",0.000625000000191852
"298","14",0.00375000000290573
"299","218",0.000625000000458211
"300","218",0.00062499999172613
"301","14",0.000625000003347173
"302","243",0.00062500001017563
"303","243",0.000625000000322238
"304","14",0.000625000002257526
"305","243",0.00500000011340529
"306","243",0.00124999999644607
"307","14",0.000625000004284084
"308","243",0.000624999998625368
"309","243",0.00124999999934994
"310","243",0.000625000001963228
"311","243",0.000624999994581565
"312","243",0.000624999988663942
"313","243",0.000624999996483326
"314","243",0.000625000001013279
"315","243",0.000625000002106652
"316","218",0.000624999993816018
"317","243",0.000625000002481043
"318","243",0.000624999999048188
"319","172",0.00249999999459833
"320","218",0.0100000001277514
"321","218",0.00249999971023574
"322","218",0.00124999999721348
"323","218",0.00249999999606237
"324","243",0.0006250000020843
"325","243",0.00312499960702285
"326","243",0.00374999986397848
"327","243",0.000625000001750886
"328","14",0.00312500038116053
"329","218",0.00375000001114979
"330","14",0.000625000001491979
