Roost,Roost.size,Latitude,Longitude,Level,Distance,Position,Region,Installation.date,Installation.time.end.,Took.down.or.Solving,Species,Latency_1stapproach,Solving.time,Latency_Solving,Latency_Solving2,Mean.approach.duration,Approaches,Solved,UI,O.Neill
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,24/6/2023 14:00:00,12/7/2023 11:19:00,Cacatua galerita,771950,12/7/2023 11:19:33,773623,1545573,206.6315789,18,1,0.506605631,2.804285
Lyneam,41,-35.254317,149.127706,3,NA,Center,North,20230624,24/6/2023 14:00:00,12/7/2023 12:53:00,Cacatua galerita,505794,12/7/2023 12:53:55,1045441,1551235,222.8,20,1,0.506605631,2.804285
Narrabundah,270,-35.336765,149.152358,1,10.9,Center,South,20230829,29/8/2023 13:20:00,9/9/2023 18:26:00,Cacatua galerita,19823,9/9/2023 18:26:09,948946,968769,45.94117647,16,1,1.185692518,2.439549
Narrabundah,270,-35.336897,149.151536,2,10.4,Left,South,20230829,29/8/2023 13:20:00,24/10/2023 13:20:00,Cacatua galerita,364866,NA,NA,NA,120.8,5,0,1.185692518,2.439549
Narrabundah,270,-35.337425,149.153887,3,16.3,Right,South,20230829,29/8/2023 13:20:00,8/9/2023 19:15:00,Cacatua galerita,710435,8/9/2023 19:15:17,174882,885317,367.6666667,5,1,1.185692518,2.439549
O'Connor,165,-35.258916,149.113906,2,10.3,Left,North,20230624,24/6/2023 17:00:00,19/8/2023 17:00:00,Cacatua galerita,2985353,NA,NA,NA,8.5,2,0,-0.731595913,2.310014
Telopea Park,320,-35.316269,149.136911,1,10.9,Right,South,20230816,16/8/2023 11:50:00,17/8/2023 10:57:00,Cacatua galerita,NA,NA,NA,NA,0,0,0,0.991942454,2.84118
Telopea Park,320,-35.316269,149.136911,2,10.6,Left,South,20230816,16/8/2023 11:50:00,2/9/2023 11:24:00,Cacatua galerita,92325,2/9/2023 11:24:00,1374966,1467291,307,5,1,0.991942454,2.84118
Telopea Park,320,-35.316269,149.136911,3,10.4,Center,South,20230816,16/8/2023 11:50:00,17/8/2023 03:14:00,Cacatua galerita,NA,NA,NA,NA,0,0,0,0.991942454,2.84118
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,3/7/2023 13:15:00,28/8/2023 13:15:00,Cacatua galerita,1816983,NA,NA,NA,97.52727273,55,0,-0.133344554,2.569044
Watson,151,-35.237272,149.161154,1,13.3,Center,North,20230718,18/7/2023 13:50:00,6/8/2023 18:35:00,Cacatua galerita,880837,6/8/2023 18:35:43,777906,1658743,265.5,1,1,-0.172817052,2.364287
Watson,151,-35.237174,149.161549,2,17.3,Right,North,20230718,18/7/2023 13:50:00,19/8/2023 12:32:00,Cacatua galerita,2758857,19/8/2023 12:32:51,1314,2760171,715,2,1,-0.172817052,2.364287
Watson,151,-35.237104,149.160883,3,6.5,Left,North,20230718,18/7/2023 13:50:00,12/9/2023 13:50:00,Cacatua galerita,3992840,NA,NA,NA,24,1,0,-0.172817052,2.364287
Yarralulma,280,-35.30691,149.101011,1,12.9,Center,South,20230824,24/8/2023 11:50:00,30/8/2023 10:55:00,Cacatua galerita,513408,30/8/2023 10:55:19,1711,515119,459,2,1,0.568560545,2.501617
Yarralulma,280,-35.306828,149.100369,2,20.1,Left,South,20230824,24/8/2023 11:50:00,19/10/2023 11:50:00,Cacatua galerita,456755,NA,NA,NA,141.8571429,7,0,0.568560545,2.501617
Yarralulma,280,-35.307398,149.101357,3,16,Right,South,20230824,24/8/2023 11:50:00,1/9/2023 11:25:00,Cacatua galerita,101995,1/9/2023 11:25:00,587746,689741,231.3333333,2,1,0.568560545,2.501617
