Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,Roost of origin,Video reference,Notes
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,9,08:15:53,08:15:59,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00124,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,10,08:25:21,08:31:26,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00125 to 128,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,11,08:32:15,08:32:34,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00129,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,12,08:42:31,08:45:12,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00130 to 131,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,13,11:24:52,11:52:54,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00146 to 149,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,14,12:00:04,12:00:21,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00150,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,15,15:06:36,15:06:50,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00157,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,16,15:19:29,15:20:07,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00158,
Cook,,-35266797,149.069347,3,NA,Left,Belconnen,20230624,10:30,1,NA,NA,NA,Presence,NA,Petaurus spp.,,Cook/Level3/DCMI/IMAG0089,"Arrives 0 s video, leaves at 15s (length IMG00XX videos 3 minutes)"
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,1,14:49:26,14:50:24,20230630,Presence,NA,Trichoglossus moluccanus,,CorroboreePark/Level1/110723/0027 to 28,"Attempt or presence?? Double check, no clear interaction with the box, but it looks at it"
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,1,18:03:32,18:03:41,20230701,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0070,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,2,18:11:24,18:12:14,20230701,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0071,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,3,18:08:50,18:11:49,20230702,Attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0077 to 78,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,4,18:10:26,18:12:51,20230702,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0078 to 79,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,1,04:17:32,04:17:56,20230703,Presence,NA,Petaurus spp.,,CorroboreePark/Level1/110723/0080,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,5,08:13:02,08:15:06,20230703,Attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0081 to 82,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,6,08:14:24,08:15:06,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0081 to 82,Observing the consp 
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,7,08:16:02,08:16:04,20230703,Presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/0082,
